contig  chromosome
RXNX01018969	NW_022592834.1
RXNX01018970	NW_022592835.1
RXNX01018971	NW_022592836.1
RXNX01018972	NW_022592837.1
RXNX01018973	NW_022592838.1
RXNX01018974	NW_022592839.1
RXNX01018975	NW_022592840.1
RXNX01018976	NW_022592841.1
RXNX01018977	NW_022592842.1
RXNX01018978	NW_022592843.1
RXNX01018979	NW_022592844.1
RXNX01018980	NW_022592845.1
RXNX01018981	NW_022592846.1
RXNX01018982	NW_022592847.1
RXNX01018983	NW_022592848.1
RXNX01018984	NW_022592849.1
RXNX01018985	NW_022592850.1
RXNX01018986	NW_022592851.1
RXNX01018987	NW_022592852.1
RXNX01018988	NW_022592853.1
RXNX01018989	NW_022592854.1
RXNX01018990	NW_022592855.1
RXNX01018991	NW_022592856.1
RXNX01018992	NW_022592857.1
RXNX01018993	NW_022592858.1
RXNX01018994	NW_022592859.1
RXNX01018995	NW_022592860.1
RXNX01018996	NW_022592861.1
RXNX01018997	NW_022592862.1
RXNX01018998	NW_022592863.1
RXNX01018999	NW_022592864.1
RXNX01019000	NW_022592865.1
RXNX01019001	NW_022592866.1
RXNX01019002	NW_022592867.1
RXNX01019003	NW_022592868.1
RXNX01019004	NW_022592869.1
RXNX01019005	NW_022592870.1
RXNX01019006	NW_022592871.1
RXNX01019007	NW_022592872.1
RXNX01019008	NW_022592873.1
RXNX01019009	NW_022592874.1
RXNX01019010	NW_022592875.1
RXNX01019011	NW_022592876.1
RXNX01019014	NW_022592878.1
RXNX01019015	NW_022592879.1
RXNX01019016	NW_022592880.1
RXNX01019017	NW_022592881.1
RXNX01019018	NW_022592882.1
RXNX01019019	NW_022592883.1
RXNX01019020	NW_022592884.1
RXNX01019021	NW_022592885.1
RXNX01019022	NW_022592886.1
RXNX01019023	NW_022592887.1
RXNX01019024	NW_022592888.1
RXNX01019025	NW_022592889.1
RXNX01019026	NW_022592890.1
RXNX01019027	NW_022592891.1
RXNX01019028	NW_022592892.1
RXNX01019031	NW_022592894.1
RXNX01019032	NW_022592895.1
RXNX01019033	NW_022592896.1
RXNX01019034	NW_022592897.1
RXNX01019035	NW_022592898.1
RXNX01019036	NW_022592899.1
RXNX01019037	NW_022592900.1
RXNX01019040	NW_022592902.1
RXNX01019041	NW_022592903.1
RXNX01019042	NW_022592904.1
RXNX01019043	NW_022592905.1
RXNX01019044	NW_022592906.1
RXNX01019045	NW_022592907.1
RXNX01019046	NW_022592908.1
RXNX01019047	NW_022592909.1
RXNX01019048	NW_022592910.1
RXNX01019049	NW_022592911.1
RXNX01019050	NW_022592912.1
RXNX01019051	NW_022592913.1
RXNX01019052	NW_022592914.1
RXNX01019053	NW_022592915.1
RXNX01019054	NW_022592916.1
RXNX01019055	NW_022592917.1
RXNX01019056	NW_022592918.1
RXNX01019061	NW_022592921.1
RXNX01019064	NW_022592923.1
RXNX01019065	NW_022592924.1
RXNX01019066	NW_022592925.1
RXNX01019067	NW_022592926.1
RXNX01019070	NW_022592928.1
RXNX01019071	NW_022592929.1
RXNX01019072	NW_022592930.1
RXNX01019073	NW_022592931.1
RXNX01019074	NW_022592932.1
RXNX01019075	NW_022592933.1
RXNX01019076	NW_022592934.1
RXNX01019077	NW_022592935.1
RXNX01019078	NW_022592936.1
RXNX01019081	NW_022592938.1
RXNX01019082	NW_022592939.1
RXNX01019083	NW_022592940.1
RXNX01019084	NW_022592941.1
RXNX01019085	NW_022592942.1
RXNX01019086	NW_022592943.1
RXNX01019087	NW_022592944.1
RXNX01019088	NW_022592945.1
RXNX01019089	NW_022592946.1
RXNX01019090	NW_022592947.1
RXNX01019091	NW_022592948.1
RXNX01019092	NW_022592949.1
RXNX01019093	NW_022592950.1
RXNX01019094	NW_022592951.1
RXNX01019095	NW_022592952.1
RXNX01019096	NW_022592953.1
RXNX01019097	NW_022592954.1
RXNX01019098	NW_022592955.1
RXNX01019099	NW_022592956.1
RXNX01019100	NW_022592957.1
RXNX01019101	NW_022592958.1
RXNX01019105	NW_022592960.1
RXNX01019106	NW_022592961.1
RXNX01019107	NW_022592962.1
RXNX01019108	NW_022592963.1
RXNX01019109	NW_022592964.1
RXNX01019110	NW_022592965.1
RXNX01019111	NW_022592966.1
RXNX01019112	NW_022592967.1
RXNX01019113	NW_022592968.1
RXNX01019114	NW_022592969.1
RXNX01019115	NW_022592970.1
RXNX01019116	NW_022592971.1
RXNX01019117	NW_022592972.1
RXNX01019118	NW_022592973.1
RXNX01019119	NW_022592974.1
RXNX01019120	NW_022592975.1
RXNX01019121	NW_022592976.1
RXNX01019122	NW_022592977.1
RXNX01019123	NW_022592978.1
RXNX01019124	NW_022592979.1
RXNX01019125	NW_022592980.1
RXNX01019126	NW_022592981.1
RXNX01019127	NW_022592982.1
RXNX01019128	NW_022592983.1
RXNX01019129	NW_022592984.1
RXNX01019130	NW_022592985.1
RXNX01019131	NW_022592986.1
RXNX01019132	NW_022592987.1
RXNX01019133	NW_022592988.1
RXNX01019134	NW_022592989.1
RXNX01019135	NW_022592990.1
RXNX01019136	NW_022592991.1
RXNX01019137	NW_022592992.1
RXNX01019138	NW_022592993.1
RXNX01019139	NW_022592994.1
RXNX01019140	NW_022592995.1
RXNX01019141	NW_022592996.1
RXNX01019142	NW_022592997.1
RXNX01019145	NW_022592999.1
RXNX01019146	NW_022593000.1
RXNX01019147	NW_022593001.1
RXNX01019148	NW_022593002.1
RXNX01019149	NW_022593003.1
RXNX01019150	NW_022593004.1
RXNX01019151	NW_022593005.1
RXNX01019152	NW_022593006.1
RXNX01019153	NW_022593007.1
RXNX01019154	NW_022593008.1
RXNX01019155	NW_022593009.1
RXNX01019159	NW_022593011.1
RXNX01019160	NW_022593012.1
RXNX01019161	NW_022593013.1
RXNX01019162	NW_022593014.1
RXNX01019167	NW_022593017.1
RXNX01019168	NW_022593018.1
RXNX01019169	NW_022593019.1
RXNX01019170	NW_022593020.1
RXNX01019171	NW_022593021.1
RXNX01019172	NW_022593022.1
RXNX01019173	NW_022593023.1
RXNX01019174	NW_022593024.1
RXNX01019175	NW_022593025.1
RXNX01019176	NW_022593026.1
RXNX01019177	NW_022593027.1
RXNX01019178	NW_022593028.1
RXNX01019179	NW_022593029.1
RXNX01019180	NW_022593030.1
RXNX01019181	NW_022593031.1
RXNX01019186	NW_022593034.1
RXNX01019187	NW_022593035.1
RXNX01019188	NW_022593036.1
RXNX01019189	NW_022593037.1
RXNX01019192	NW_022593039.1
RXNX01019193	NW_022593040.1
RXNX01019194	NW_022593041.1
RXNX01019195	NW_022593042.1
RXNX01019196	NW_022593043.1
RXNX01019197	NW_022593044.1
RXNX01019198	NW_022593045.1
RXNX01019199	NW_022593046.1
RXNX01019200	NW_022593047.1
RXNX01019201	NW_022593048.1
RXNX01019202	NW_022593049.1
RXNX01019203	NW_022593050.1
RXNX01019204	NW_022593051.1
RXNX01019205	NW_022593052.1
RXNX01019206	NW_022593053.1
RXNX01019207	NW_022593054.1
RXNX01019208	NW_022593055.1
RXNX01019209	NW_022593056.1
RXNX01019210	NW_022593057.1
RXNX01019211	NW_022593058.1
RXNX01019212	NW_022593059.1
RXNX01019213	NW_022593060.1
RXNX01019214	NW_022593061.1
RXNX01019215	NW_022593062.1
RXNX01019216	NW_022593063.1
RXNX01019217	NW_022593064.1
RXNX01019218	NW_022593065.1
RXNX01019219	NW_022593066.1
RXNX01019220	NW_022593067.1
RXNX01019221	NW_022593068.1
RXNX01019222	NW_022593069.1
RXNX01019223	NW_022593070.1
RXNX01019224	NW_022593071.1
RXNX01019225	NW_022593072.1
RXNX01019226	NW_022593073.1
RXNX01019227	NW_022593074.1
RXNX01019228	NW_022593075.1
RXNX01019229	NW_022593076.1
RXNX01019230	NW_022593077.1
RXNX01019231	NW_022593078.1
RXNX01019232	NW_022593079.1
RXNX01019233	NW_022593080.1
RXNX01019234	NW_022593081.1
RXNX01019235	NW_022593082.1
RXNX01019238	NW_022593084.1
RXNX01019239	NW_022593085.1
RXNX01019240	NW_022593086.1
RXNX01019241	NW_022593087.1
RXNX01019242	NW_022593088.1
RXNX01019243	NW_022593089.1
RXNX01019244	NW_022593090.1
RXNX01019245	NW_022593091.1
RXNX01019249	NW_022593093.1
RXNX01019250	NW_022593094.1
RXNX01019251	NW_022593095.1
RXNX01019252	NW_022593096.1
RXNX01019253	NW_022593097.1
RXNX01019254	NW_022593098.1
RXNX01019255	NW_022593099.1
RXNX01019256	NW_022593100.1
RXNX01019257	NW_022593101.1
RXNX01019258	NW_022593102.1
RXNX01019259	NW_022593103.1
RXNX01019260	NW_022593104.1
RXNX01019261	NW_022593105.1
RXNX01019268	NW_022593108.1
RXNX01019269	NW_022593109.1
RXNX01019270	NW_022593110.1
RXNX01019271	NW_022593111.1
RXNX01019272	NW_022593112.1
RXNX01019273	NW_022593113.1
RXNX01019274	NW_022593114.1
RXNX01019275	NW_022593115.1
RXNX01019276	NW_022593116.1
RXNX01019277	NW_022593117.1
RXNX01019278	NW_022593118.1
RXNX01019281	NW_022593120.1
RXNX01019282	NW_022593121.1
RXNX01019283	NW_022593122.1
RXNX01019284	NW_022593123.1
RXNX01019285	NW_022593124.1
RXNX01019286	NW_022593125.1
RXNX01019287	NW_022593126.1
RXNX01019288	NW_022593127.1
RXNX01019289	NW_022593128.1
RXNX01019290	NW_022593129.1
RXNX01019291	NW_022593130.1
RXNX01019292	NW_022593131.1
RXNX01019293	NW_022593132.1
RXNX01019294	NW_022593133.1
RXNX01019295	NW_022593134.1
RXNX01019296	NW_022593135.1
RXNX01019297	NW_022593136.1
RXNX01019298	NW_022593137.1
RXNX01019299	NW_022593138.1
RXNX01019300	NW_022593139.1
RXNX01019303	NW_022593141.1
RXNX01019304	NW_022593142.1
RXNX01019305	NW_022593143.1
RXNX01019306	NW_022593144.1
RXNX01019309	NW_022593146.1
RXNX01019310	NW_022593147.1
RXNX01019311	NW_022593148.1
RXNX01019312	NW_022593149.1
RXNX01019313	NW_022593150.1
RXNX01019317	NW_022593152.1
RXNX01019318	NW_022593153.1
RXNX01019319	NW_022593154.1
RXNX01019320	NW_022593155.1
RXNX01019321	NW_022593156.1
RXNX01019322	NW_022593157.1
RXNX01019323	NW_022593158.1
RXNX01019324	NW_022593159.1
RXNX01019327	NW_022593161.1
RXNX01019328	NW_022593162.1
RXNX01019329	NW_022593163.1
RXNX01019330	NW_022593164.1
RXNX01019331	NW_022593165.1
RXNX01019332	NW_022593166.1
RXNX01019333	NW_022593167.1
RXNX01019334	NW_022593168.1
RXNX01019335	NW_022593169.1
RXNX01019336	NW_022593170.1
RXNX01019337	NW_022593171.1
RXNX01019338	NW_022593172.1
RXNX01019339	NW_022593173.1
RXNX01019342	NW_022593175.1
RXNX01019343	NW_022593176.1
RXNX01019344	NW_022593177.1
RXNX01019345	NW_022593178.1
RXNX01019346	NW_022593179.1
RXNX01019347	NW_022593180.1
RXNX01019348	NW_022593181.1
RXNX01019349	NW_022593182.1
RXNX01019350	NW_022593183.1
RXNX01019353	NW_022593185.1
RXNX01019354	NW_022593186.1
RXNX01019355	NW_022593187.1
RXNX01019356	NW_022593188.1
RXNX01019357	NW_022593189.1
RXNX01019358	NW_022593190.1
RXNX01019359	NW_022593191.1
RXNX01019360	NW_022593192.1
RXNX01019361	NW_022593193.1
RXNX01019362	NW_022593194.1
RXNX01019363	NW_022593195.1
RXNX01019364	NW_022593196.1
RXNX01019365	NW_022593197.1
RXNX01019368	NW_022593199.1
RXNX01019369	NW_022593200.1
RXNX01019370	NW_022593201.1
RXNX01019371	NW_022593202.1
RXNX01019372	NW_022593203.1
RXNX01019373	NW_022593204.1
RXNX01019376	NW_022593206.1
RXNX01019377	NW_022593207.1
RXNX01019378	NW_022593208.1
RXNX01019379	NW_022593209.1
RXNX01019380	NW_022593210.1
RXNX01019381	NW_022593211.1
RXNX01019382	NW_022593212.1
RXNX01019383	NW_022593213.1
RXNX01019384	NW_022593214.1
RXNX01019385	NW_022593215.1
RXNX01019386	NW_022593216.1
RXNX01019387	NW_022593217.1
RXNX01019388	NW_022593218.1
RXNX01019389	NW_022593219.1
RXNX01019390	NW_022593220.1
RXNX01019391	NW_022593221.1
RXNX01019394	NW_022593223.1
RXNX01019397	NW_022593225.1
RXNX01019398	NW_022593226.1
RXNX01019399	NW_022593227.1
RXNX01019400	NW_022593228.1
RXNX01019401	NW_022593229.1
RXNX01019402	NW_022593230.1
RXNX01019405	NW_022593232.1
RXNX01019406	NW_022593233.1
RXNX01019407	NW_022593234.1
RXNX01019408	NW_022593235.1
RXNX01019409	NW_022593236.1
RXNX01019410	NW_022593237.1
RXNX01019411	NW_022593238.1
RXNX01019412	NW_022593239.1
RXNX01019413	NW_022593240.1
RXNX01019414	NW_022593241.1
RXNX01019415	NW_022593242.1
RXNX01019416	NW_022593243.1
RXNX01019419	NW_022593245.1
RXNX01019420	NW_022593246.1
RXNX01019421	NW_022593247.1
RXNX01019422	NW_022593248.1
RXNX01019423	NW_022593249.1
RXNX01019424	NW_022593250.1
RXNX01019425	NW_022593251.1
RXNX01019426	NW_022593252.1
RXNX01019433	NW_022593256.1
RXNX01019434	NW_022593257.1
RXNX01019435	NW_022593258.1
RXNX01019436	NW_022593259.1
RXNX01019437	NW_022593260.1
RXNX01019438	NW_022593261.1
RXNX01019439	NW_022593262.1
RXNX01019440	NW_022593263.1
RXNX01019441	NW_022593264.1
RXNX01019442	NW_022593265.1
RXNX01019445	NW_022593267.1
RXNX01019446	NW_022593268.1
RXNX01019447	NW_022593269.1
RXNX01019448	NW_022593270.1
RXNX01019449	NW_022593271.1
RXNX01019450	NW_022593272.1
RXNX01019451	NW_022593273.1
RXNX01019452	NW_022593274.1
RXNX01019453	NW_022593275.1
RXNX01019454	NW_022593276.1
RXNX01019455	NW_022593277.1
RXNX01019456	NW_022593278.1
RXNX01019457	NW_022593279.1
RXNX01019458	NW_022593280.1
RXNX01019459	NW_022593281.1
RXNX01019460	NW_022593282.1
RXNX01019464	NW_022593284.1
RXNX01019465	NW_022593285.1
RXNX01019466	NW_022593286.1
RXNX01019467	NW_022593287.1
RXNX01019468	NW_022593288.1
RXNX01019469	NW_022593289.1
RXNX01019470	NW_022593290.1
RXNX01019471	NW_022593291.1
RXNX01019472	NW_022593292.1
RXNX01019473	NW_022593293.1
RXNX01019474	NW_022593294.1
RXNX01019475	NW_022593295.1
RXNX01019476	NW_022593296.1
RXNX01019477	NW_022593297.1
RXNX01019478	NW_022593298.1
RXNX01019479	NW_022593299.1
RXNX01019480	NW_022593300.1
RXNX01019483	NW_022593302.1
RXNX01019484	NW_022593303.1
RXNX01019485	NW_022593304.1
RXNX01019486	NW_022593305.1
RXNX01019487	NW_022593306.1
RXNX01019488	NW_022593307.1
RXNX01019489	NW_022593308.1
RXNX01019490	NW_022593309.1
RXNX01019491	NW_022593310.1
RXNX01019492	NW_022593311.1
RXNX01019493	NW_022593312.1
RXNX01019494	NW_022593313.1
RXNX01019495	NW_022593314.1
RXNX01019496	NW_022593315.1
RXNX01019497	NW_022593316.1
RXNX01019498	NW_022593317.1
RXNX01019499	NW_022593318.1
RXNX01019500	NW_022593319.1
RXNX01019501	NW_022593320.1
RXNX01019502	NW_022593321.1
RXNX01019503	NW_022593322.1
RXNX01019504	NW_022593323.1
RXNX01019505	NW_022593324.1
RXNX01019506	NW_022593325.1
RXNX01019507	NW_022593326.1
RXNX01019508	NW_022593327.1
RXNX01019509	NW_022593328.1
RXNX01019510	NW_022593329.1
RXNX01019511	NW_022593330.1
RXNX01019512	NW_022593331.1
RXNX01019513	NW_022593332.1
RXNX01019514	NW_022593333.1
RXNX01019515	NW_022593334.1
RXNX01019516	NW_022593335.1
RXNX01019517	NW_022593336.1
RXNX01019518	NW_022593337.1
RXNX01019519	NW_022593338.1
RXNX01019520	NW_022593339.1
RXNX01019521	NW_022593340.1
RXNX01019522	NW_022593341.1
RXNX01019523	NW_022593342.1
RXNX01019524	NW_022593343.1
RXNX01019525	NW_022593344.1
RXNX01019526	NW_022593345.1
RXNX01019527	NW_022593346.1
RXNX01019528	NW_022593347.1
RXNX01019529	NW_022593348.1
RXNX01019530	NW_022593349.1
RXNX01019531	NW_022593350.1
RXNX01019532	NW_022593351.1
RXNX01019533	NW_022593352.1
RXNX01019534	NW_022593353.1
RXNX01019535	NW_022593354.1
RXNX01019536	NW_022593355.1
RXNX01019537	NW_022593356.1
RXNX01019538	NW_022593357.1
RXNX01019539	NW_022593358.1
RXNX01019540	NW_022593359.1
RXNX01019541	NW_022593360.1
RXNX01019542	NW_022593361.1
RXNX01019543	NW_022593362.1
RXNX01019544	NW_022593363.1
RXNX01019545	NW_022593364.1
RXNX01019549	NW_022593366.1
RXNX01019550	NW_022593367.1
RXNX01019551	NW_022593368.1
RXNX01019552	NW_022593369.1
RXNX01019553	NW_022593370.1
RXNX01019558	NW_022593373.1
RXNX01019559	NW_022593374.1
RXNX01019566	NW_022593377.1
RXNX01019567	NW_022593378.1
RXNX01019568	NW_022593379.1
RXNX01019569	NW_022593380.1
RXNX01019570	NW_022593381.1
RXNX01019571	NW_022593382.1
RXNX01019575	NW_022593384.1
RXNX01019576	NW_022593385.1
RXNX01019577	NW_022593386.1
RXNX01019578	NW_022593387.1
RXNX01019579	NW_022593388.1
RXNX01019582	NW_022593390.1
RXNX01019583	NW_022593391.1
RXNX01019584	NW_022593392.1
RXNX01019585	NW_022593393.1
RXNX01019586	NW_022593394.1
RXNX01019587	NW_022593395.1
RXNX01019588	NW_022593396.1
RXNX01019589	NW_022593397.1
RXNX01019590	NW_022593398.1
RXNX01019591	NW_022593399.1
RXNX01019592	NW_022593400.1
RXNX01019593	NW_022593401.1
RXNX01019594	NW_022593402.1
RXNX01019595	NW_022593403.1
RXNX01019596	NW_022593404.1
RXNX01019597	NW_022593405.1
RXNX01019598	NW_022593406.1
RXNX01019599	NW_022593407.1
RXNX01019600	NW_022593408.1
RXNX01019601	NW_022593409.1
RXNX01019602	NW_022593410.1
RXNX01019603	NW_022593411.1
RXNX01019604	NW_022593412.1
RXNX01019605	NW_022593413.1
RXNX01019606	NW_022593414.1
RXNX01019607	NW_022593415.1
RXNX01019608	NW_022593416.1
RXNX01019609	NW_022593417.1
RXNX01019610	NW_022593418.1
RXNX01019613	NW_022593420.1
RXNX01019614	NW_022593421.1
RXNX01019615	NW_022593422.1
RXNX01019616	NW_022593423.1
RXNX01019617	NW_022593424.1
RXNX01019618	NW_022593425.1
RXNX01019619	NW_022593426.1
RXNX01019620	NW_022593427.1
RXNX01019621	NW_022593428.1
RXNX01019622	NW_022593429.1
RXNX01019623	NW_022593430.1
RXNX01019624	NW_022593431.1
RXNX01019625	NW_022593432.1
RXNX01019626	NW_022593433.1
RXNX01019627	NW_022593434.1
RXNX01019628	NW_022593435.1
RXNX01019629	NW_022593436.1
RXNX01019630	NW_022593437.1
RXNX01019631	NW_022593438.1
RXNX01019632	NW_022593439.1
RXNX01019633	NW_022593440.1
RXNX01019634	NW_022593441.1
RXNX01019635	NW_022593442.1
RXNX01019636	NW_022593443.1
RXNX01019637	NW_022593444.1
RXNX01019638	NW_022593445.1
RXNX01019639	NW_022593446.1
RXNX01019640	NW_022593447.1
RXNX01019643	NW_022593449.1
RXNX01019644	NW_022593450.1
RXNX01019645	NW_022593451.1
RXNX01019646	NW_022593452.1
RXNX01019647	NW_022593453.1
RXNX01019648	NW_022593454.1
RXNX01019649	NW_022593455.1
RXNX01019650	NW_022593456.1
RXNX01019651	NW_022593457.1
RXNX01019652	NW_022593458.1
RXNX01019653	NW_022593459.1
RXNX01019654	NW_022593460.1
RXNX01019655	NW_022593461.1
RXNX01019656	NW_022593462.1
RXNX01019657	NW_022593463.1
RXNX01019660	NW_022593465.1
RXNX01019661	NW_022593466.1
RXNX01019662	NW_022593467.1
RXNX01019663	NW_022593468.1
RXNX01019664	NW_022593469.1
RXNX01019665	NW_022593470.1
RXNX01019666	NW_022593471.1
RXNX01019667	NW_022593472.1
RXNX01019668	NW_022593473.1
RXNX01019669	NW_022593474.1
RXNX01019672	NW_022593476.1
RXNX01019673	NW_022593477.1
RXNX01019674	NW_022593478.1
RXNX01019675	NW_022593479.1
RXNX01019676	NW_022593480.1
RXNX01019677	NW_022593481.1
RXNX01019678	NW_022593482.1
RXNX01019679	NW_022593483.1
RXNX01019680	NW_022593484.1
RXNX01019681	NW_022593485.1
RXNX01019682	NW_022593486.1
RXNX01019683	NW_022593487.1
RXNX01019684	NW_022593488.1
RXNX01019685	NW_022593489.1
RXNX01019686	NW_022593490.1
RXNX01019687	NW_022593491.1
RXNX01019688	NW_022593492.1
RXNX01019689	NW_022593493.1
RXNX01019690	NW_022593494.1
RXNX01019691	NW_022593495.1
RXNX01019692	NW_022593496.1
RXNX01019693	NW_022593497.1
RXNX01019694	NW_022593498.1
RXNX01019695	NW_022593499.1
RXNX01019696	NW_022593500.1
RXNX01019697	NW_022593501.1
RXNX01019698	NW_022593502.1
RXNX01019699	NW_022593503.1
RXNX01019700	NW_022593504.1
RXNX01019701	NW_022593505.1
RXNX01019702	NW_022593506.1
RXNX01019703	NW_022593507.1
RXNX01019704	NW_022593508.1
RXNX01019705	NW_022593509.1
RXNX01019708	NW_022593511.1
RXNX01019715	NW_022593515.1
RXNX01019716	NW_022593516.1
RXNX01019717	NW_022593517.1
RXNX01019718	NW_022593518.1
RXNX01019719	NW_022593519.1
RXNX01019720	NW_022593520.1
RXNX01019721	NW_022593521.1
RXNX01019722	NW_022593522.1
RXNX01019723	NW_022593523.1
RXNX01019724	NW_022593524.1
RXNX01019725	NW_022593525.1
RXNX01019726	NW_022593526.1
RXNX01019727	NW_022593527.1
RXNX01019728	NW_022593528.1
RXNX01019729	NW_022593529.1
RXNX01019730	NW_022593530.1
RXNX01019731	NW_022593531.1
RXNX01019732	NW_022593532.1
RXNX01019735	NW_022593534.1
RXNX01019736	NW_022593535.1
RXNX01019737	NW_022593536.1
RXNX01019738	NW_022593537.1
RXNX01019739	NW_022593538.1
RXNX01019740	NW_022593539.1
RXNX01019743	NW_022593541.1
RXNX01019744	NW_022593542.1
RXNX01019745	NW_022593543.1
RXNX01019746	NW_022593544.1
RXNX01019747	NW_022593545.1
RXNX01019748	NW_022593546.1
RXNX01019749	NW_022593547.1
RXNX01019754	NW_022593550.1
RXNX01019757	NW_022593552.1
RXNX01019758	NW_022593553.1
RXNX01019759	NW_022593554.1
RXNX01019760	NW_022593555.1
RXNX01019761	NW_022593556.1
RXNX01019762	NW_022593557.1
RXNX01019765	NW_022593559.1
RXNX01019766	NW_022593560.1
RXNX01019767	NW_022593561.1
RXNX01019770	NW_022593563.1
RXNX01019773	NW_022593565.1
RXNX01019774	NW_022593566.1
RXNX01019775	NW_022593567.1
RXNX01019776	NW_022593568.1
RXNX01019777	NW_022593569.1
RXNX01019778	NW_022593570.1
RXNX01019779	NW_022593571.1
RXNX01019780	NW_022593572.1
RXNX01019781	NW_022593573.1
RXNX01019782	NW_022593574.1
RXNX01019783	NW_022593575.1
RXNX01019784	NW_022593576.1
RXNX01019785	NW_022593577.1
RXNX01019786	NW_022593578.1
RXNX01019787	NW_022593579.1
RXNX01019788	NW_022593580.1
RXNX01019789	NW_022593581.1
RXNX01019790	NW_022593582.1
RXNX01019791	NW_022593583.1
RXNX01019792	NW_022593584.1
RXNX01019793	NW_022593585.1
RXNX01019794	NW_022593586.1
RXNX01019795	NW_022593587.1
RXNX01019796	NW_022593588.1
RXNX01019797	NW_022593589.1
RXNX01019798	NW_022593590.1
RXNX01019799	NW_022593591.1
RXNX01019800	NW_022593592.1
RXNX01019801	NW_022593593.1
RXNX01019802	NW_022593594.1
RXNX01019803	NW_022593595.1
RXNX01019804	NW_022593596.1
RXNX01019809	NW_022593599.1
RXNX01019810	NW_022593600.1
RXNX01019811	NW_022593601.1
RXNX01019812	NW_022593602.1
RXNX01019817	NW_022593605.1
RXNX01019818	NW_022593606.1
RXNX01019819	NW_022593607.1
RXNX01019820	NW_022593608.1
RXNX01019821	NW_022593609.1
RXNX01019822	NW_022593610.1
RXNX01019823	NW_022593611.1
RXNX01019824	NW_022593612.1
RXNX01019825	NW_022593613.1
RXNX01019826	NW_022593614.1
RXNX01019827	NW_022593615.1
RXNX01019828	NW_022593616.1
RXNX01019829	NW_022593617.1
RXNX01019830	NW_022593618.1
RXNX01019831	NW_022593619.1
RXNX01019832	NW_022593620.1
RXNX01019833	NW_022593621.1
RXNX01019834	NW_022593622.1
RXNX01019835	NW_022593623.1
RXNX01019836	NW_022593624.1
RXNX01019837	NW_022593625.1
RXNX01019838	NW_022593626.1
RXNX01019839	NW_022593627.1
RXNX01019840	NW_022593628.1
RXNX01019845	NW_022593631.1
RXNX01019846	NW_022593632.1
RXNX01019847	NW_022593633.1
RXNX01019848	NW_022593634.1
RXNX01019849	NW_022593635.1
RXNX01019850	NW_022593636.1
RXNX01019853	NW_022593638.1
RXNX01019854	NW_022593639.1
RXNX01019857	NW_022593641.1
RXNX01019858	NW_022593642.1
RXNX01019859	NW_022593643.1
RXNX01019860	NW_022593644.1
RXNX01019861	NW_022593645.1
RXNX01019862	NW_022593646.1
RXNX01019863	NW_022593647.1
RXNX01019866	NW_022593649.1
RXNX01019867	NW_022593650.1
RXNX01019868	NW_022593651.1
RXNX01019869	NW_022593652.1
RXNX01019870	NW_022593653.1
RXNX01019871	NW_022593654.1
RXNX01019872	NW_022593655.1
RXNX01019873	NW_022593656.1
RXNX01019876	NW_022593658.1
RXNX01019877	NW_022593659.1
RXNX01019878	NW_022593660.1
RXNX01019879	NW_022593661.1
RXNX01019880	NW_022593662.1
RXNX01019881	NW_022593663.1
RXNX01019882	NW_022593664.1
RXNX01019883	NW_022593665.1
RXNX01019884	NW_022593666.1
RXNX01019885	NW_022593667.1
RXNX01019886	NW_022593668.1
RXNX01019887	NW_022593669.1
RXNX01019888	NW_022593670.1
RXNX01019889	NW_022593671.1
RXNX01019890	NW_022593672.1
RXNX01019891	NW_022593673.1
RXNX01019892	NW_022593674.1
RXNX01019893	NW_022593675.1
RXNX01019894	NW_022593676.1
RXNX01019895	NW_022593677.1
RXNX01019896	NW_022593678.1
RXNX01019897	NW_022593679.1
RXNX01019898	NW_022593680.1
RXNX01019899	NW_022593681.1
RXNX01019900	NW_022593682.1
RXNX01019901	NW_022593683.1
RXNX01019902	NW_022593684.1
RXNX01019903	NW_022593685.1
RXNX01019904	NW_022593686.1
RXNX01019907	NW_022593688.1
RXNX01019908	NW_022593689.1
RXNX01019909	NW_022593690.1
RXNX01019910	NW_022593691.1
RXNX01019911	NW_022593692.1
RXNX01019912	NW_022593693.1
RXNX01019913	NW_022593694.1
RXNX01019916	NW_022593696.1
RXNX01019917	NW_022593697.1
RXNX01019918	NW_022593698.1
RXNX01019919	NW_022593699.1
RXNX01019920	NW_022593700.1
RXNX01019921	NW_022593701.1
RXNX01019922	NW_022593702.1
RXNX01019923	NW_022593703.1
RXNX01019924	NW_022593704.1
RXNX01019925	NW_022593705.1
RXNX01019926	NW_022593706.1
RXNX01019927	NW_022593707.1
RXNX01019928	NW_022593708.1
RXNX01019929	NW_022593709.1
RXNX01019930	NW_022593710.1
RXNX01019931	NW_022593711.1
RXNX01019932	NW_022593712.1
RXNX01019935	NW_022593714.1
RXNX01019936	NW_022593715.1
RXNX01019937	NW_022593716.1
RXNX01019938	NW_022593717.1
RXNX01019939	NW_022593718.1
RXNX01019940	NW_022593719.1
RXNX01019941	NW_022593720.1
RXNX01019942	NW_022593721.1
RXNX01019943	NW_022593722.1
RXNX01019944	NW_022593723.1
RXNX01019945	NW_022593724.1
RXNX01019946	NW_022593725.1
RXNX01019947	NW_022593726.1
RXNX01019948	NW_022593727.1
RXNX01019949	NW_022593728.1
RXNX01019950	NW_022593729.1
RXNX01019951	NW_022593730.1
RXNX01019952	NW_022593731.1
