contig  chromosome
RXNX01015468	NW_022589851.1
RXNX01015469	NW_022589852.1
RXNX01015470	NW_022589853.1
RXNX01015473	NW_022589855.1
RXNX01015474	NW_022589856.1
RXNX01015475	NW_022589857.1
RXNX01015476	NW_022589858.1
RXNX01015479	NW_022589860.1
RXNX01015480	NW_022589861.1
RXNX01015481	NW_022589862.1
RXNX01015482	NW_022589863.1
RXNX01015496	NW_022589867.1
RXNX01015497	NW_022589868.1
RXNX01015498	NW_022589869.1
RXNX01015499	NW_022589870.1
RXNX01015500	NW_022589871.1
RXNX01015501	NW_022589872.1
RXNX01015502	NW_022589873.1
RXNX01015503	NW_022589874.1
RXNX01015507	NW_022589876.1
RXNX01015508	NW_022589877.1
RXNX01015509	NW_022589878.1
RXNX01015510	NW_022589879.1
RXNX01015511	NW_022589880.1
RXNX01015512	NW_022589881.1
RXNX01015517	NW_022589884.1
RXNX01015518	NW_022589885.1
RXNX01015519	NW_022589886.1
RXNX01015524	NW_022589889.1
RXNX01015525	NW_022589890.1
RXNX01015526	NW_022589891.1
RXNX01015527	NW_022589892.1
RXNX01015528	NW_022589893.1
RXNX01015529	NW_022589894.1
RXNX01015530	NW_022589895.1
RXNX01015531	NW_022589896.1
RXNX01015532	NW_022589897.1
RXNX01015538	NW_022589899.1
RXNX01015548	NW_022589903.1
RXNX01015549	NW_022589904.1
RXNX01015552	NW_022589906.1
RXNX01015553	NW_022589907.1
RXNX01015556	NW_022589909.1
RXNX01015563	NW_022589913.1
RXNX01015569	NW_022589916.1
RXNX01015570	NW_022589917.1
RXNX01015573	NW_022589919.1
RXNX01015574	NW_022589920.1
RXNX01015590	NW_022589927.1
RXNX01015591	NW_022589928.1
RXNX01015592	NW_022589929.1
RXNX01015593	NW_022589930.1
RXNX01015610	NW_022589938.1
RXNX01015617	NW_022589942.1
RXNX01015618	NW_022589943.1
RXNX01015623	NW_022589946.1
RXNX01015624	NW_022589947.1
RXNX01015625	NW_022589948.1
RXNX01015630	NW_022589951.1
RXNX01015631	NW_022589952.1
RXNX01015632	NW_022589953.1
RXNX01015633	NW_022589954.1
RXNX01015634	NW_022589955.1
RXNX01015635	NW_022589956.1
RXNX01015636	NW_022589957.1
RXNX01015637	NW_022589958.1
RXNX01015638	NW_022589959.1
RXNX01015639	NW_022589960.1
RXNX01015645	NW_022589963.1
RXNX01015646	NW_022589964.1
RXNX01015647	NW_022589965.1
RXNX01015648	NW_022589966.1
RXNX01015649	NW_022589967.1
RXNX01015652	NW_022589969.1
RXNX01015653	NW_022589970.1
RXNX01015660	NW_022589974.1
RXNX01015661	NW_022589975.1
RXNX01015662	NW_022589976.1
RXNX01015666	NW_022589978.1
RXNX01015667	NW_022589979.1
RXNX01015668	NW_022589980.1
RXNX01015671	NW_022589982.1
RXNX01015672	NW_022589983.1
RXNX01015681	NW_022589988.1
RXNX01015682	NW_022589989.1
RXNX01015683	NW_022589990.1
RXNX01015684	NW_022589991.1
RXNX01015685	NW_022589992.1
RXNX01015690	NW_022589995.1
RXNX01015691	NW_022589996.1
